data,adresse,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2023-12-14,158 BD DES POILUS,44300.0,butas,23.0,1.0,2,110670.0,4812.0,1113.0,47.233922,-1.534309,44109000AZ0415
2023-06-29,158 BD DES POILUS,44300.0,butas,48.0,2.0,2,174000.0,3625.0,1113.0,47.233922,-1.534309,44109000AZ0415
2022-05-24,158 BD DES POILUS,44300.0,butas,35.0,1.0,2,145000.0,4143.0,1113.0,47.233922,-1.534309,44109000AZ0415
2025-03-31,158 BD DES POILUS,44300.0,butas,23.0,1.0,2,90300.0,3926.0,1113.0,47.233922,-1.534309,44109000AZ0415
2025-04-23,49 RUE DE LA MARRIERE,44300.0,namas,94.0,5.0,0,349000.0,3713.0,1114.0,47.234737,-1.529471,44109000AZ0511
2022-01-21,30 RUE GAL BUAT,44000.0,butas,44.0,2.0,1,180000.0,4091.0,1116.0,47.232716,-1.537393,44109000BY0257
2025-05-26,6 RUE DES HIBISCUS,44000.0,namas,165.0,5.0,0,184998.0,1121.0,1116.0,47.226126,-1.513798,44109000BT0610
2022-03-01,6 RUE DES HIBISCUS,44000.0,namas,165.0,5.0,0,715000.0,4333.0,1116.0,47.226126,-1.513798,44109000BT0610
2025-09-19,30 RUE GAL BUAT,44000.0,butas,46.0,2.0,1,149900.0,3259.0,1116.0,47.232716,-1.537393,44109000BY0257
2021-02-26,48 RUE GAL BUAT,44000.0,butas,46.0,2.0,0,166500.0,3620.0,1117.0,47.232243,-1.538267,44109000BY0267
2022-06-01,48 RUE GAL BUAT,44000.0,butas,45.0,2.0,1,110000.0,2444.0,1117.0,47.232243,-1.538267,44109000BY0267
2025-01-03,48 RUE GAL BUAT,44000.0,butas,43.0,3.0,1,115000.0,2674.0,1117.0,47.232243,-1.538267,44109000BY0267
2024-01-31,48 RUE GAL BUAT,44000.0,butas,45.0,2.0,1,189000.0,4200.0,1117.0,47.232243,-1.538267,44109000BY0267
2024-03-29,48 RUE GAL BUAT,44000.0,butas,62.0,3.0,2,175000.0,2823.0,1117.0,47.232243,-1.538267,44109000BY0267
2024-07-15,48 RUE GAL BUAT,44000.0,butas,60.0,3.0,1,188000.0,3133.0,1117.0,47.232243,-1.538267,44109000BY0267
2025-07-17,142 RUE GAL BUAT,44000.0,butas,48.0,2.0,1,175000.0,3646.0,1118.0,47.227448,-1.542665,44109000BZ0190
2025-05-05,142 RUE GAL BUAT,44000.0,butas,22.0,2.0,0,65000.0,2955.0,1118.0,47.227448,-1.542665,44109000BZ0190
2021-06-25,70 RUE GAMBETTA,44000.0,butas,60.0,3.0,1,270000.0,4500.0,1119.0,47.22195,-1.542639,44109000ET0376
2024-10-01,70 RUE GAMBETTA,44000.0,butas,49.0,2.0,1,186000.0,3796.0,1119.0,47.22195,-1.542639,44109000ET0376
2021-03-25,70 RUE GAMBETTA,44000.0,butas,53.0,2.0,1,235000.0,4434.0,1119.0,47.22195,-1.542639,44109000ET0376
